NAN	31	19	29	17	32	2	15	25	NAN	
NAN	28	22	32	18	23	1	10	21	NAN	
NAN	24	22	24	23	19	5	21	28	NAN	
NAN	31	22	30	20	21	5	15	18	NAN	
NAN	26	18	20	20	30	2	10	24	NAN	
NAN	28	22	27	18	27	3	9	27	NAN	
NAN	24	20	27	30	17	2	19	24	NAN	
NAN	23	20	27	18	22	5	13	20	NAN	
NAN	24	19	24	21	27	5	16	21	NAN	
NAN	15	19	24	19	17	3	13	30	NAN	
NAN	18	15	23	16	16	2	19	39	NAN	
NAN	24	19	26	18	19	4	6	20	NAN	
NAN	24	32	31	21	26	4	7	24	NAN	
NAN	16	17	22	21	17	3	7	21	NAN	
NAN	15	27	23	16	26	4	12	24	NAN	
NAN	16	23	30	16	29	6	10	32	NAN	
NAN	25	16	26	17	22	7	7	16	NAN	
NAN	21	18	22	16	20	3	8	16	NAN	
NAN	22	28	16	11	30	8	10	35	NAN	
NAN	25	24	28	16	25	2	10	19	NAN	
NAN	23	20	22	11	31	4	13	22	NAN	
NAN	33	20	31	4	21	7	10	15	NAN	
NAN	31	29	30	4	29	3	10	18	NAN	
NAN	27	14	23	6	30	3	8	24	NAN	
NAN	36	16	32	6	37	0	12	18	NAN	
NAN	29	24	31	8	28	5	19	19	NAN	
NAN	38	22	29	6	41	4	10	22	NAN	
NAN	33	16	33	5	30	1	17	24	NAN	
NAN	24	15	20	4	33	4	11	16	NAN	
NAN	22	19	32	7	17	0	12	23	NAN	
NAN	25	13	21	5	20	3	9	23	NAN	
NAN	20	10	30	9	19	4	14	24	NAN	
NAN	13	13	20	7	16	4	11	19	NAN	
NAN	19	7	26	8	8	6	3	15	NAN	
NAN	18	5	12	4	15	5	4	18	NAN	
NAN	4	7	11	9	9	3	10	14	NAN	
NAN	12	4	20	5	5	5	11	14	NAN	
NAN	17	5	10	7	16	2	8	15	NAN	
NAN	6	3	12	3	12	3	11	16	NAN	
NAN	11	3	9	7	6	1	5	13	NAN	
NAN	10	3	9	6	4	2	10	12	NAN	
NAN	4	5	6	4	5	3	12	10	NAN	
NAN	3	4	7	3	6	1	6	10	NAN	
NAN	7	3	8	6	3	2	5	10	NAN	
NAN	6	5	8	8	5	1	6	9	NAN	
NAN	4	5	8	9	6	3	3	8	NAN	
NAN	5	4	5	3	0	1	8	8	NAN	
NAN	4	3	7	6	2	5	8	11	NAN	
NAN	1	2	4	4	5	3	8	1	NAN	
NAN	1	4	6	4	0	1	9	3	NAN	
NAN	7	4	2	3	3	1	5	3	NAN	
NAN	4	8	1	5	3	4	5	2	NAN	
NAN	2	4	1	4	3	3	4	2	NAN	
NAN	1	1	0	0	1	4	10	7	NAN	
NAN	2	6	1	2	2	3	11	2	NAN	
NAN	2	5	0	2	2	6	7	2	NAN	
NAN	2	2	0	3	4	1	8	4	NAN	
NAN	2	1	1	4	1	5	4	0	NAN	
NAN	1	3	3	5	1	1	4	2	NAN	
NAN	2	2	2	2	6	7	5	5	NAN	
NAN	1	4	4	4	2	1	8	2	NAN	
NAN	3	6	0	3	1	2	10	2	NAN	
NAN	4	1	2	0	1	2	3	3	NAN	
